ymc_id,s93 (mjy),r93 (pc),ra (deg),dec (deg),r93 (arcsec),r93 (rad),peak93 (jy/sr),log (peak93 (jy/sr)),sigma (arcsec),s93_err (mjy),r93_err (pc),r93_err (arcsec),r93_err (rad),peak93_err (jy/sr),log (peak93 (jy/sr))_err,sigma_err (arcsec)
1,0.037,4.3,160.990061,11.703993,0.08905015060240964,4.317269076305221e-07,43801964.469236724,7.6414935885638595,0.07565858165030556,0.012,0.6,0.012425924070017861,6.02425233074824e-08,16629077.096042851,0.16476474393634333,0.010557284681408548
2,0.053,2.9,160.989812,11.704463,0.060057078313253014,2.9116465863453814e-07,137945853.13789222,8.139708649458914,0.051025555066485144,0.016,1.5,0.03106406454645996,1.506026933627128e-07,109161717.9800499,0.34344044801393114,0.02639257820429903
3,0.034,3.7,160.99004,11.704893,0.07662454819277109,3.714859437751004e-07,54363103.83043523,7.735304244564303,0.06510157025723967,0.009,0.4,0.00828409217280177,4.016237448331888e-08,16618218.994961262,0.13266915491634182,0.007038311106883406
4,0.029,3.3,160.990317,11.704807,0.06834081325301206,3.313253012048193e-07,58290649.41317208,7.765598893799219,0.058063562661862404,0.008,0.3,0.006213180092873379,3.012231882710774e-08,17740941.12647817,0.13208925490460627,0.005278827606519438
5,0.058,1.4,160.990521,11.705508,0.028993072289156627,1.4056224899598391e-07,647739971.5402491,8.8114006978625,0.024633026583820414,0.016,3.4,0.07041175300515486,3.4136549101958567e-07,2231839771.589928,1.495381639899061,0.059823069673028764
6,0.134,3.5,160.990601,11.705601,0.07248268072289157,3.5140562248995985e-07,239440430.85901612,8.379197485320294,0.061582566459551034,0.018,0.6,0.012425815517094381,6.02419970285525e-08,66365024.01048598,0.1202905470776986,0.010557192452926406
7,0.14,6.0,160.990644,11.705525,0.12425602409638556,6.024096385542169e-07,85124448.36716682,7.930054310566988,0.10557011393065892,0.028,1.0,0.020709713114194166,1.0040342818313415e-07,26313999.550881613,0.13415976284302727,0.017595338244854854
8,0.04,4.6,160.990779,11.705358,0.09526295180722892,4.618473895582329e-07,41378343.791763514,7.616773103620853,0.08093708734683851,0.014,0.7,0.014496851667145828,7.028265419312936e-08,17001203.64256457,0.17831845609880936,0.012316781365459497
12,0.035,4.5,160.991685,11.705156,0.09319201807228916,4.5180722891566265e-07,37833088.16318526,7.5778717924556265,0.07917758544799419,0.013,0.7,0.014496838098027388,7.028258840824855e-08,16332166.065721015,0.187353462713633,0.012316769836896675
13,0.041,4.5,160.99259,11.704243,0.09319201807228916,4.5180722891566265e-07,44318760.4197313,7.646587604825086,0.07917758544799419,0.014,0.7,0.014496838098027388,7.028258840824855e-08,18002056.888405938,0.176288610411806,0.012316769836896675
14,0.056,2.9,160.990905,11.70225,0.060057078313253014,2.9116465863453814e-07,145754108.9758861,8.163620806864326,0.051025555066485144,0.017,1.3,0.026922206079999907,1.3052241572734058e-07,102449704.24047454,0.30505604234953015,0.022873582056074687
15,0.152,4.0,160.990434,11.701863,0.08283734939759037,4.0160642570281125e-07,207946866.7255075,8.317952380944886,0.07038007595377262,0.02,0.6,0.012425880753339986,6.024231330249914e-08,51909734.101165645,0.10833933184309155,0.010557247878793532
16,0.026,3.4,160.990357,11.701448,0.07041174698795181,3.4136546184738954e-07,49231638.45258782,7.692244289542345,0.05982306456070672,0.008,0.4,0.008284036592631766,4.016210502330383e-08,17221099.984345198,0.15181207914507167,0.007038263884988756
17,0.083,4.2,160.99004,11.701785,0.08697921686746989,4.216867469879518e-07,102993137.23724264,8.012808287236311,0.07389907975146125,0.022,1.7,0.03520598180346857,1.706832560224399e-07,64969271.553903535,0.2737722591112423,0.029911624302012375
18,0.153,5.9,160.989975,11.701884,0.1221850903614458,5.923694779116466e-07,96209106.90818624,7.983216183189349,0.1038106120318146,0.028,0.9,0.018638807328950915,9.036340304438907e-08,27217445.70611835,0.12277810091021926,0.01583586009256662
